id,taxonomy,store,name,price,price_unit,quantity,image_url,description,out_of_stock
items_18036-30498989,Acorn squash,Stater Bros.,Squash Yellow           S 4784,$1.79,lb,,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1dc10bd5-4f79-455e-8a8b-bc68944c8f56.jpg,,False
items_18036-17533123,Acorn squash,Stater Bros.,Squash,$1.99,lb,,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f98ce2be-e39e-4baf-8d84-266a0ee24874.jpg,,False
items_18036-30497313,Acorn squash,Stater Bros.,Squash Spaghetti        S 4776,$1.99,lb,,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_223775e0-05da-4b47-a1be-3158d51dfe9f.jpg,,False
items_18036-34631736,Acorn squash,Stater Bros.,Squash Chayote          S 4761,$1.79,,lb,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6e3db070-1103-4c58-a719-562b213992b9.jpg,,False
items_18036-16346094,Acorn squash,Stater Bros.,Chayote,$0.95,,1 ct,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bfc1ae1a-a845-4bca-a0ad-34dc39a1a1d8.jpg,,False
items_18036-80472,Acorn squash,Stater Bros.,Lean Cuisine Butternut Squash Ravioli,$4.69,,9.875 oz,https://www.instacart.com/assets/domains/product-image/file/large_d970f3b0-7c98-4d2d-9a07-c53b13087d2b.jpg,"Progress never tasted this good -- Lean Cuisine Butternut Squash Ravioli are a quick, satisfying option for busy weeknights or effortless frozen lunches. Our frozen ravioli features butternut squash ravioli with peas and carrots in a creamy sauce for real comfort you can feel good about. Whenever you're searching for perfectly portioned meals that fit into your routine, think of Lean Cuisine. Whether you're stocking up on convenient frozen dinners or looking for diet food that fits your meal plan goals, Lean Cuisine makes it easy to stay on track. Our frozen ravioli has 16g of protein, making it a meal you can count on to help hit your macros. Simply microwave and enjoy — no prep, no cleanup, just smart eating made simple.",False
items_18036-69977141,Acorn squash,Stater Bros.,Stater Bros. Markets Cut Butternut Squash With Herb,$4.99,,13 oz,,,False
items_14348-20611721,Acorn squash,ALDI,Butternut Squash,$2.45,lb,,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_077cbe6a-b6d2-4a3a-8daa-5421815d5c9b.jpg,"Versatile and nutritious, Butternut Squash is perfect for soups, roasts and purees. Its naturally sweet flavor complements savory dishes, and it's a great addition to your seasonal recipes. Whether you're making a comforting soup or a hearty side dish, this squash delivers. Add it to your cart and elevate your meals with ease.",False
items_14348-40806479,Acorn squash,ALDI,Spaghetti Squash,$2.67,lb,,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_536550d1-0d7f-45e6-8980-1228fb454883.jpg,"Transform your meals with Spaghetti Squash. This versatile squash can be roasted or microwaved for a low-carb pasta alternative. Pair it with marinara sauce or use it as a base for a hearty stir-fry. It's a simple, nutritious way to add variety to your diet. Perfect for those looking to cut down on carbs without sacrificing flavor.",False
items_14348-16383702,Acorn squash,ALDI,Calabaza Squash,$0.64,,,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4fa219d5-931c-47b5-8b55-f4a4bcfba3c1.jpg,"Calabaza Squash is your new kitchen staple. Slice it for a fresh salad, roast it for a side dish or add it to stews for extra texture. Its mild flavor pairs perfectly with a variety of spices and herbs. Nutritious and versatile, this squash elevates any meal. Make it a part of your grocery list and discover new favorite recipes.",False
items_14348-20383636,Acorn squash,ALDI,Yellow Squash,$1.60,lb,,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_40a2ef36-1a52-46b9-845c-88128de8cc4d.jpg,,False
items_14348-20947352,Acorn squash,ALDI,Simply Nature Organic Butternut Squash,$2.75,,10 oz,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8b66e6fb-f841-484a-b797-0172fb829284.jpg,"Simply Nature Organic Butternut Squash is a nutritious and flavorful addition to your meals. Steam it as a side dish, blend it into soups or add it to your favorite casseroles for a touch of sweetness. Keep it in your freezer for a quick, healthy option when meal planning. Elevate your culinary creations with the natural goodness of butternut squash.",False
items_88566-3056329,Acorn squash,Walmart,Acorn Squash,$2.47,,,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6a9f8d2d-71df-4a42-92cd-c9b055e82cc8.jpeg,Add some fresh flavor to your meal with Acorn Squash. This versatile vegetable can be used in a variety of dishes to create delicious and decadent meals. Roast the whole squash for a simple and flavorful side dish  chop it into cubes and put it in the slow cooker with chicken breast  kidney beans  and spices  or make butternut noodles for a gluten-free pasta alternative. For a sweet treat turn the squash into a rich and spicy pie  perfect for the holiday season. With so many uses  this vegetable will become a pantry staple. Create tasty and flavorful meals with Acorn Squash.,False
items_88566-22379158,Acorn squash,Walmart,Great Value Butternut Squash,$1.92,,10 oz,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_eec53979-e482-4dae-b147-c7cba312df46.jpeg,Eating your veggies just got easier with Great Value Butternut Squash. Whether you want to make a vegetable soup  vegetable casserole  or your very own homemade recipe  Great Value Butternut Squash has you covered. With no added chemicals or sugars  Great Value Butternut Squash is frozen to ensure long-lasting farm-fresh flavors perfect for delicious  easy  and quick dinner ideas. Ready in minutes  all you have to do is microwave the steamer bag or warm the frozen squash in a saucepan on the stove. Great Value Butternut Squash is not only fast and easy to prepare but sure to satisfy.,False
items_88566-17330249,Acorn squash,Walmart,Butternut Squash,$5.36,,,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ce0ef1f6-6501-43e1-b922-b591e6ece8fc.jpeg,Add some fresh flavor to your meal with Butternut Squash. This versatile vegetable can be used in a variety of dishes to create delicious and decadent meals. Roast the whole squash for a simple and flavorful side dish  chop it into cubes and put it in the slow cooker with chicken breast  kidney beans  and spices  or make butternut noodles for a gluten-free pasta alternative. For a sweet treat turn the squash into a rich and spicy pie  perfect for the holiday season. With so many uses  this vegetable will become a pantry staple. Create tasty and flavorful meals with Butternut Squash.\u00A0\u00A0\u00A0,False
items_88566-16621856,Acorn squash,Walmart,Yellow Squash,$0.64,,,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_087c0c48-1a85-439e-bb58-10b83bfa343f.jpeg,Create something wholesome and delicious with Yellow Squash. These versatile vegetables can be used to make savory sides or sweet treats. Try them dipped in batter and fried for a comforting side or  for a healthier option  you can make a filling squash and chicken chowder  or roast them in the oven stuffed with ground turkey. If you're looking for something sweet  you can use squash to make a zesty lemon squash bread  a creamy squash custard pie  or even a squash chocolate loaf. Use your imagination to create something amazing and tasty with this squash. The mouthwatering possibilities are endless with this hearty vegetable. Add something amazing to your meals with fresh Yellow Squash.,False
items_88566-16614369,Acorn squash,Walmart,Buttercup Squash,$5.27,,,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_49d46bb5-3808-46be-bd3f-0079e3cc27d6.jpeg,,False
items_88566-3253241,Acorn squash,Walmart,Zucchini Squash,$0.75,,,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_38754eb5-ebf1-4dd6-8f73-e1a9fc7a3cf1.jpeg,This Zucchini  Each provides a healthy dose of vitamins to add to your diet. Ideal for many types of cuisines  it can be enjoyed year-round in many recipes. It can be used as a simple side dish  sauteed in oil  herbs and spices. You can also serve it with a protein and a starch for a wholesome meal. This zucchini vegetable is sold in the store at a per-unit price  so you can stock up on as many as you need. You can even buy just one single zucchini at a time. Also known as Calabacin  Kousa and Tori around the world.,False
items_88566-16346094,Acorn squash,Walmart,Chayote,$0.97,,1 ct,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_51cf82b7-6e97-4640-8567-f2e31f05ef82.jpeg,,False
items_88566-30528627,Acorn squash,Walmart,Calabacita Squash,$0.77,,,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f667ddb2-dd23-4c56-8bd4-d423ca834e23.jpeg,Add some fresh flavor to your meal with Calabacita Squash. This versatile vegetable can be used in a variety of dishes to create delicious and decadent meals. Roast the whole squash for a simple and flavorful side dish  chop it into cubes and put it in the slow cooker with chicken breast  kidney beans  and spices  or make noodles for a gluten-free pasta alternative. For a sweet treat turn the squash into a rich and spicy pie  perfect for the holiday season. With so many uses  this vegetable will become a pantry staple. Create tasty and flavorful meals with Calabacita Squash.,False
items_88566-20569754,Acorn squash,Walmart,Marketside Butternut Squash Cubes,$3.47,,16 oz,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fbb84e47-2a45-419e-b246-3b50b058fd4f.png,Marketside Butternut Squash makes preparing this fantastic hard-shelled gourd easier than ever! Whole butternut squash can be difficult to cut and peel  so we've done the work for you. Each bag includes a full pound of washed  chopped  and ready-to-cook butternut squash. This versatile and delicious vegetable can be prepared with an array of spices. Use it for sweet sides  such as cinnamon and brown sugar roasted squash  or for savory creations like garlic  Parmesan  and herb roasted squash. You can also add it to a casserole or make roasted butternut squash with pecans by following the recipe featured on the package. Explore the many possibilities of our Marketside Butternut Squash today. Fresh ideas and quality ingredients  that's how Marketside brings the best foods to your table. We are committed to deliver freshness that you can taste and see. Marketside offers the best in fresh food  guaranteed by Walmart  working in partnership with farmers  bakers and chefs for the highest quality  authentic ingredients and favorite recipes.,False
items_88566-19648033,Acorn squash,Walmart,Spaghetti,$4.00,lb,,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a8644f76-74ef-4350-9eb6-837de44ea20f.jpeg,Treat yourself to a delicious and healthy meal with fresh  Produce Unbranded Spaghetti Squash. When  cooked this unique squash falls apart into ribbons that are the perfect substitute for spaghetti. Roast the squash and serve with marinara sauce and meatballs for a healthy spin on a classic or bake some with pancetta and make a creamy  decadent carbonara. You can even make scrumptious vegan or vegetarian meals using this versatile squash. If you're feeling creative you can make Spaghetti Squash tacos  Spaghetti Squash casserole  or even pad Thai. Try serving it for breakfast by making Spaghetti Squash nests with a sunny side up egg. The possibilities are endless when you bring home Spaghetti Squash.,False
items_88566-18757505,Acorn squash,Walmart,Organic Yellow Squash,$2.96,,2 ct,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_10338cb4-c64c-4bb7-83cb-057359ec159e.jpeg,Wholesum's fresh organic yellow squash is as delicious as it is versatile  making it the perfect addition to healthy and hearty meals. With its mildly sweet flavor and tender  edible skin  this bright and nutritious vegetable is easy to prepare and does not require long cooking. For more savory options  try them grilled  roasted  or air fried. They are also a perfect addition to vegetable  pasta dishes and skewers. If craving something on the sweet side  you may even feature this lovely vegetable on the dessert table. Try grating them into a fluffy yellow squash Bundt cake or bread. Any way that you enjoy it  yellow squash promises to deliver on flavor and is rich in essential vitamins  nutrients  and antioxidants. Wholesum is committed to bringing you a variety of premium Wrapped organic produce that is fresh  flavorful  and responsibly grown.,False
items_88566-18757226,Acorn squash,Walmart,Organic Zucchini Squash,$2.96,,2 ct,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_12a29c30-efd9-4f28-9875-f15ca39d57c7.png,Organic zucchini is always fresh  and has a light  delicate flavor with a creamy texture. It can be enjoyed raw with your favorite veggie dip or cooked. Like other summer squash  it has tender edible skin that does not require long cooking making it a very versatile ingredient for soups  chilis  saut\u00E9's and skewers. Dice and saut\u00E9 with other fresh veggies  roast in the oven topped with parmesan cheese or grate it into delicious zucchini frittatas. Zucchini also makes a great low-carb pasta alternative. Simply spiralize the fresh zucchini and prepare it with your choice of toppings. Best yet  zucchini is packed with many essential vitamins such as vitamin B6 and rich in antioxidants  making it a great addition to a healthy diet. The possibilities are endless and always flavorful with fresh organic zucchini.,False
items_88566-132615,Acorn squash,Walmart,Margaret Holmes Cut Squash with Vidalia Onions,$1.73,,14.5 oz,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2b599243-7cfe-4b37-8d46-25307fc93b76.jpeg,,False
items_88566-16345558,Acorn squash,Walmart,Fuzzy Melon (Mo Qua),$3.48,,,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_44c91dec-f152-4402-a5c4-c9f39d987454.jpeg,,False
items_88566-24591,Acorn squash,Walmart,Pacific Foods Organic Butternut Squash Soup,$4.33,,32 fl oz,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_78f7ab54-7bd2-4f49-91f4-1d0cef955809.jpg,,False
items_88566-61600631,Acorn squash,Walmart,Bettergoods Butternut Squash Ravioli,$5.42,,18 oz,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_febac924-1365-4b94-bb3e-6a49c87224a4.jpeg,,False
items_88566-21304750,Acorn squash,Walmart,Tasty Bite Organic Coconut Squash Dal,$4.12,,10 oz,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2a224827-b42d-4d35-84cf-ddc593d28ecc.jpg,This dish offers a hearty meal with just a hint of sweetness. Savor delicious yellow dal with squash and spices in a creamy coconut sauce.,False
items_88566-64810143,Acorn squash,Walmart,Parent's Choice Butternut Squash Organic Puree,$0.97,,4 oz,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fd3a34bd-61e4-46fe-b559-7a51a4ac6efc.jpeg,,False
items_88566-70472164,Acorn squash,Walmart,Parent's Choice Butternut Squash Puree,$1.47,,4 oz,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3cac159e-2eab-4081-b064-fb277ded8ff4.jpeg,Be prepared wherever hunger strikes with a pouch of Parent's Choice Stage 1 Baby Food Butternut Squash Puree. This nutritious puree is made with real squash and contains no artificial flavors or colors  so you know you're giving your little one a snack you can feel good about. Plus  it comes in convenient reclosable cups that not require refrigeration until you open it. Cups are easy for busy parents to take on outings. The pureed texture is ideal for introducing babies to new and different flavors. At any time of day  Parent's Choice Stage 1 Butternut Squash Puree is a great choice for your little one.Parent's Choice provides parents with baby and toddler products you need at a price that won't push your budget over the edge. We offer everything you need from bath time to bed time and every time in between  all with the high quality we know your little one needs.,False
items_88566-18261176,Acorn squash,Walmart,Gerber Baby Food Butternut Squash Tubs,$1.26,,2 oz,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_38c9fe7f-d545-4f9b-95ac-2e5efdc3cac6.jpg,,False
items_18036-17134148,Agave syrup,Stater Bros.,Full Circle Organic Light Agave Nectar,$3.99,,11.75 oz,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6e922f08-d624-4e6c-8db1-161b2902159f.jpg,,False
items_18036-207359,Agave syrup,Stater Bros.,"In The Raw Agave Nectar, Organic",$7.99,,18.5 oz,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2b83a611-b73c-4b4c-90c0-753a31ac31b8.png,,False
items_18036-17134152,Agave syrup,Stater Bros.,Full Circle Organic Amber Agave Nectar,$3.99,,11.75 fl oz,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_cbc06b75-4bf6-4d5d-b694-424dd43b93cc.jpg,,False
items_18036-43501,Agave syrup,Stater Bros.,Pearl Milling Company Regular Syrup,$3.99,,12 fl oz,https://www.instacart.com/assets/domains/product-image/file/large_9248b24a-643b-4df8-aa30-715e0ceb06e7.png,Give your pancakes what they deserve and top them with the classic taste of Aunt Jemima Original Syrup. Our rich and thick syrup is a great way to top your family’s favorite pancakes and waffles.,False
items_18036-3170019,Agave syrup,Stater Bros.,Stater Bros. Honey Squeeze,$5.99,,16 oz,https://www.instacart.com/assets/domains/product-image/file/large_ea563af2-d920-4b41-853d-478e377d9a67.png,,False
items_18036-4715,Agave syrup,Stater Bros.,Bradshaws Spun Premium Honey,$6.99,,340 g,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bc433713-91a5-481b-a509-2d0a67ed532c.png,,False
items_18036-37092,Agave syrup,Stater Bros.,"Pearl Milling Company Syrup, Original",$4.69,,24 fl oz,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6cfa3bab-f181-4dab-90ff-e36bfcf97836.png,,False
items_18036-19086051,Agave syrup,Stater Bros.,Full Circle Organic Raw Honey,$5.99,,12 oz,https://www.instacart.com/assets/domains/product-image/file/large_329aec6c-f3a6-4fee-8848-ce7b577faf65.png,• Organic,False
items_18036-3262646,Agave syrup,Stater Bros.,Torani Vanilla Syrup,$5.99,,12.7 fl oz,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_852879f0-d610-49fb-9b32-969cf0070797.png,,False
items_18036-34738,Agave syrup,Stater Bros.,Log Cabin Original Pancake Syrup,$4.69,,24 fl oz,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e3470700-80ce-4c57-98fb-d8294331cbc3.jpg,,False
items_18036-46756147,Agave syrup,Stater Bros.,"Full Circle Maple Syrup, 100% Pure",$19.99,,32 fl oz,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f460230d-a1df-4743-9120-03a4eec21ff1.png,,False
items_18036-75835,Agave syrup,Stater Bros.,Torani Sugar Free Vanilla Syrup,$5.99,,12.7 fl oz,https://www.instacart.com/assets/domains/product-image/file/large_86e9d4e9-10f4-4b58-b4fa-0db3df3f6bef.png,"Get all that pure vanilla taste, complete with the crisp, pure vanilla flavor you crave, without any sugar. Bring the crisp, clean flavors of vanilla to your drinks without the calories with Torani Sugar Free Vanilla Syrup. This sugar-free coffee syrup is sweetened with sucralose, so you can enjoy custom drinks, guilt-free. This Torani coffee flavoring syrup lets you create your favorite vanilla specialty coffee drink in the comfort of your own kitchen. Perfect for beverages, Torani Sugar-Free Vanilla flavoring syrup is tasty added to coffee, cocoa, mixed drinks, frappes, smoothies, great as a dessert topping, and even as the secret ingredient in home-baked treats. Torani Sugar Free Syrups have zero sugar so you can enjoy flavor without the calories. Satisfy your taste for inspiration: explore, create, and delight your senses with Torani flavors. Combine our wide selection of skinny syrups to create unique custom calorie-free flavors. With zero sugar and zero carbs, use Torani Sugar Free Flavored Syrups for coffee to add delicious flavor without the calories to coffee drinks, espresso, cappuccino, tea, latte, cold brew, frappe and more. This vanilla syrup pairs especially well with flavors like chocolate, caramel. and hazelnut. The possibilities are endless! In 1925, Rinaldo and Ezilda Torre create hand-crafted syrups from recipes brought over from Lucca, Italy to the North Beach neighborhood in San Francisco, California. By 1933 and the end of Prohibition, Ezilda was one of the first female rectifiers of distilled spirits in the US. She led Torani through the Great Depression and WWII. In 1982 our Vanilla syrup was used in the first flavored latte. We started with just five syrups and have since grown to a portfolio of over 150 sold around the globe. Our flavor experts’ study global trends to learn what people are craving, and then we use our gold standard process to capture the essence of that flavor in a bottle. Our purpose is “Flavor for all, Opportunity for all.” This means that we believe every single bottle of Torani carries two promises: Each bottle promises amazing flavor for your creative beverages, from a classic vanilla latte to a bold, unexpected cocktail. Our flavors can be used however you choose. Each bottle also promises our dedication to help all the people, partners, and communities we touch thrive. We believe that everything starts with people and that businesses can, and should, create more opportunities for people. Enjoy the pure taste of vanilla in this premium sugar-free coffee syrup. This syrup captures the crisp, pure flavors of vanilla without the calories. Crafted with natural flavors and sweetened with Splenda. Zero sugar, zero calories, and carbs, perfect for your keto or low-carb diet. Use for a low-calorie hot or iced coffee, espresso, cappuccino, tea, latte, cold brew, frappe, and more. Torani Sugar Free Syrup delivers all of the flavor and vibrant colors with none of the calories. Proudly created and produced in San Francisco, California USA.",False
items_18036-3162705,Agave syrup,Stater Bros.,Full Circle Organic Honey,$6.99,,16 oz,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_18f69f5a-5fbe-4f8e-a3f9-a00b8c71338a.jpg,"USDA Organic. Certified Organic. Certified Organic by PCO. In season year round. Quality Guaranteed: If for any reason you're not satisfied, we'll give you a full refund. U.S. Grade A. True Source Certified. www.fullcirclemarketbrand.com. Scan for more food information or call 1-888-423-0139. Product of Brazil.",False
items_18036-135614,Agave syrup,Stater Bros.,Log Cabin Sugar Free Syrup,$4.69,,24 fl oz,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_305575e6-0fd9-49c7-9d0a-f27ad6f7306b.jpg,,False
items_18036-3281569,Agave syrup,Stater Bros.,Full Circle Organic 100% Pure Maple Syrup,$8.99,,12 fl oz,https://d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b909ba89-f852-4be7-b831-3c96798a872d.jpg,In season year round.,False
items_18036-79718,Agave syrup,Stater Bros.,"Wild Mountain Honey, 100% Pure, Raw",$8.99,,1 lb,https://www.instacart.com/assets/domains/product-image/file/large_1f5d642b-c75d-44ba-a2bb-66ce48b2a338.png,"Raw 100% pure natural uncooked honey. Since 1925. Natural. Uncooked. Eat wild mountain honey for health. Unblended. Unfiltered. Undiluted. U.S. Grade A Fancy. Selected honey from the USA, Argentina, Vietnam.",False
items_18036-23050006,Agave syrup,Stater Bros.,Log Cabin Butter Rich Pancake Syrup,$4.69,,24 oz,https://www.instacart.com/assets/domains/product-image/file/large_487e0a29-b8f1-42c4-96cd-3a266da48f0d.jpg,"Top your pancakes with the buttery maple syrup flavor of Log Cabin. Log Cabin Artificially Flavored Butter Rich Syrup For Pancakes and Waffles has a thick, rich buttery flavor that takes pancakes and waffles to next-level delicious. Indulge in the comforting flavor you've come to expect, with no high fructose corn syrup, so you'll feel good about serving it to your family and guests at breakfast or anytime. Log Cabin: The Best Traditions Start With the Best Ingredients.",False
items_18036-16787275,Agave syrup,Stater Bros.,Log Cabin Original Pancake Syrup,$11.99,,64 fl oz,https://www.instacart.com/assets/domains/product-image/file/large_b8ef0d82-d049-41d5-b232-b829210896b1.jpg,"Top your pancakes with the sweet maple flavor of Log Cabin. Log Cabin Original Syrup for Pancakes and Waffles has a thick, rich flavor that takes pancakes and waffles to next-level delicious. With no high fructose corn syrup, you can feel good about serving it to your family and guests. Log Cabin: The Best Traditions Start With the Best Ingredients.",False
